Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Price,Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position
jardin,Jardin,"<p>An elegant floral fragrance with notes of jasmine, rose, and sandalwood. Perfect for special occasions.</p>",Aristial,Women,Perfume,women,Size,30 ml,JARDIN-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../jardin-1.jpg,1
jardin,Jardin,"<p>An elegant floral fragrance with notes of jasmine, rose, and sandalwood. Perfect for special occasions.</p>",Aristial,Women,Perfume,women,Size,50 ml,JARDIN-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../jardin-2.jpg,2
espresso,Espresso,"<p>A rich, bold fragrance with coffee, vanilla, and amber notes. Energizing and sophisticated.</p>",Aristial,Men,Perfume,men,Size,30 ml,ESPRESSO-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../espresso-1.jpg,1
espresso,Espresso,"<p>A rich, bold fragrance with coffee, vanilla, and amber notes. Energizing and sophisticated.</p>",Aristial,Men,Perfume,men,Size,50 ml,ESPRESSO-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../espresso-2.jpg,2
bleu,Bleu,"<p>A fresh aquatic scent with citrus and marine notes. Clean and refreshing.</p>",Aristial,Men,Perfume,men,Size,30 ml,BLEU-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../bleu-1.jpg,1
bleu,Bleu,"<p>A fresh aquatic scent with citrus and marine notes. Clean and refreshing.</p>",Aristial,Men,Perfume,men,Size,50 ml,BLEU-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../bleu-2.jpg,2
bloom,Bloom,"<p>A vibrant floral bouquet with peony, freesia, and musk. Youthful and romantic.</p>",Aristial,Women,Perfume,women,Size,30 ml,BLOOM-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../bloom-1.jpg,1
bloom,Bloom,"<p>A vibrant floral bouquet with peony, freesia, and musk. Youthful and romantic.</p>",Aristial,Women,Perfume,women,Size,50 ml,BLOOM-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../bloom-2.jpg,2
iv-nuit,IV Nuit,"<p>A mysterious evening fragrance with oud, patchouli, and bergamot. Deep and sensual.</p>",Aristial,Unisex,Perfume,unisex,Size,30 ml,IV-NUIT-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../iv-nuit-1.jpg,1
iv-nuit,IV Nuit,"<p>A mysterious evening fragrance with oud, patchouli, and bergamot. Deep and sensual.</p>",Aristial,Unisex,Perfume,unisex,Size,50 ml,IV-NUIT-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../iv-nuit-2.jpg,2
oud-intense,Oud Intense,"<p>A powerful oud fragrance with rose, saffron, and amber. Luxurious and long-lasting.</p>",Aristial,Unisex,Perfume,unisex,Size,30 ml,OUD-INTENSE-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../oud-intense-1.jpg,1
oud-intense,Oud Intense,"<p>A powerful oud fragrance with rose, saffron, and amber. Luxurious and long-lasting.</p>",Aristial,Unisex,Perfume,unisex,Size,50 ml,OUD-INTENSE-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../oud-intense-2.jpg,2
vanilla-vibes,Vanilla Vibes,"<p>A sweet, warm fragrance with vanilla, caramel, and tonka bean. Comforting and delicious.</p>",Aristial,Unisex,Perfume,unisex,Size,30 ml,VANILLA-VIBES-30ML,100,shopify,50,deny,350,550,true,true,kg,https://cdn.shopify.com/s/files/1/.../vanilla-vibes-1.jpg,1
vanilla-vibes,Vanilla Vibes,"<p>A sweet, warm fragrance with vanilla, caramel, and tonka bean. Comforting and delicious.</p>",Aristial,Unisex,Perfume,unisex,Size,50 ml,VANILLA-VIBES-50ML,100,shopify,50,deny,550,,true,true,kg,https://cdn.shopify.com/s/files/1/.../vanilla-vibes-2.jpg,2
